WBAN Number|WMO Number|Call Sign|Climate Division Code|Climate Division State Code|Climate Division Station Code|Name|Location|Address|Latitude|Longitude|Ground Height|Station Height|Barometer Height|Time Zone
93735||FAF||||FORT EUSTIS, VA|Felker Army Airfield||37.08|-76.37|0|12|0|
93736||CHO||||CHARLOTTESVILLE, VA|CHARLOTTES-ALBEMARLE ARPT||38.08|-78.27|629|644|632|
93737||FBG||||FORT BRAGG, NV|Simmons AAF Airport||35.08|-78.56|0|242|0|
93738|72403|IAD|04|44|8903|WASHINGTON, DC|WASHINGTON DULLES INTL APT|NAT'L WEA SER CONTRACT MET OBS*DULLES INT'L APT-BOX 17106*WASHINGTON, D.C.*20041*|38.56|-77.27|306|323|309|
93739|72402|WAL|01|44|8849|WALLOPS ISLAND, VA|WALLOPS FLT FACILITY ARPT|NAT'L WEA SER OFC*WALLOPS STATION BLDG N-162*ATTN:SAM WEST RM 113*WALLOPS ISLAND, VA. 23337*|37.56|-75.3|60|48|63|
93740||FAY||||FAYETTEVILLE, NC|FAYETT RGNL/GRANNIS FLD AP||34.59|-78.53|181|196|184|
93741||PHF||||NEWPORT NEWS, VA|NWPT NEWS/WIMBURG INTL APT||37.08|-76.29|56|51|59|
93743|723097|NJM||||BOGUE FIELD, NC|SWANSBORO4|COMMANDING OFFICER*ATTN WEATHER OFFICER*NWSS 271 PSC*BOX 8078 MCAS*CHERRY POINT, NC 28533|34.41|-77.02|22|22|29|
93744||MTN||||BALTIMORE, MD|MARTIN STATE AIRPORT||39.20|-76.25|0|0|0|
93747||HFF||||CAMP MACKALL, NC|Mackall AAF Airport||35.02|-79.3|0|376|0|
93753||OAJ||||JACKSONVILLE, NC|ALBERT J ELLIS AIRPORT||34.50|-77.37|0|94|0|
93757||HSP||||HOT SPRINGS, VA|INGALLS FIELD AIRPORT||37.57|-79.5|0|0|0|
93759||RWI||||ROCKY MOUNT, NC|ROCKY MOUNT-WILSON RGN APT||35.52|-77.53|156|158|159|
